Id,SalePrice
1461,125829.7875
1462,153976.875
1463,180386.0
1464,179473.75
1465,201982.0875
1466,184862.375
1467,167378.5875
1468,174737.875
1469,179612.35
1470,114405.45
1471,201587.35
1472,95738.75
1473,98486.875
1474,151276.875
1475,141695.625
1476,376103.175
1477,255678.4625
1478,306131.05
1479,247520.5875
1480,440776.7
1481,320961.6875
1482,208764.6875
1483,176688.6625
1484,176929.95
1485,172181.5875
1486,196385.3125
1487,327989.575
1488,241146.075
1489,207929.05
1490,201444.425
1491,192280.725
1492,95257.7
1493,175402.9375
1494,298534.7125
1495,306216.925
1496,230963.6375
1497,192734.475
1498,152393.2375
1499,153093.35
1500,151372.3
1501,173473.9875
1502,164894.5875
1503,310680.475
1504,232984.7875
1505,217762.6625
1506,185825.625
1507,218490.625
1508,199904.25
1509,165196.25
1510,151046.7125
1511,150904.2125
1512,168883.925
1513,146695.8625
1514,163458.55
1515,185948.425
1516,160527.725
1517,153768.2375
1518,130595.875
1519,229612.425
1520,139313.75
1521,146921.875
1522,162553.125
1523,114246.15
1524,122696.25
1525,123667.475
1526,127190.625
1527,104172.95
1528,127969.1125
1529,143898.125
1530,168758.75
1531,126494.6375
1532,102547.9125
1533,146884.8375
1534,120652.25
1535,151889.6
1536,120742.65
1537,77863.8875
1538,191177.575
1539,260839.6875
1540,112056.15
1541,143673.9875
1542,155374.6
1543,218603.175
1544,75730.9375
1545,104418.5375
1546,124342.5
1547,145821.3125
1548,136054.125
1549,115855.625
1550,151275.8
1551,116593.2125
1552,140833.2375
1553,140420.4625
1554,117062.975
1555,179152.5
1556,98805.0
1557,118407.925
1558,93160.675
1559,114411.2125
1560,151345.425
1561,158437.5
1562,127166.875
1563,121556.45
1564,163346.1625
1565,153498.7625
1566,215767.0125
1567,78176.3
1568,220497.5
1569,150159.85
1570,126920.625
1571,139969.0875
1572,146880.9375
1573,254241.0
1574,125301.475
1575,215130.725
1576,210534.225
1577,203698.0125
1578,147305.9125
1579,142198.25
1580,192749.875
1581,143765.9375
1582,129111.875
1583,332142.675
1584,240173.125
1585,140835.0
1586,77443.4
1587,104835.825
1588,150336.7375
1589,99537.575
1590,134909.8375
1591,108318.7
1592,122371.525
1593,117495.1
1594,147964.5125
1595,123420.4625
1596,230297.4875
1597,172704.8
1598,188857.325
1599,215862.7375
1600,197825.1625
1601,82348.4
1602,118027.5
1603,99058.5
1604,280465.675
1605,246627.2625
1606,168770.9
1607,162628.05
1608,214199.95
1609,199916.6
1610,156418.45
1611,151521.0875
1612,162376.1875
1613,164760.0125
1614,119214.0625
1615,85895.625
1616,83835.0
1617,87018.75
1618,124889.1625
1619,127376.6625
1620,149581.0375
